date,mean_wave_height,max_wave_height
1982-01-01T00:00:00Z,1.2304347857185032,2.5999999046325684
1982-01-02T00:00:00Z,4.654166668653488,5.599999904632568
1982-01-03T00:00:00Z,2.8375000109275184,4.5
1982-01-04T00:00:00Z,1.4583333333333333,3.299999952316284
1982-01-05T00:00:00Z,4.449999978144963,6.099999904632568
1982-01-06T00:00:00Z,3.0708333253860474,6.300000190734863
1982-01-07T00:00:00Z,1.3913043426430745,2.200000047683716
1982-01-08T00:00:00Z,2.816666677594185,4
1982-01-09T00:00:00Z,2.5499999771515527,3.5
1982-01-10T00:00:00Z,2.466666673620542,3.700000047683716
1982-01-11T00:00:00Z,2.7083333333333335,3.299999952316284
1982-01-12T00:00:00Z,2.7666666905085244,3.5999999046325684
1982-01-13T00:00:00Z,1.266666665673256,2.4000000953674316
1982-01-14T00:00:00Z,2.2416666597127914,4.5
1982-01-15T00:00:00Z,3.6458333333333335,4.400000095367432
1982-01-16T00:00:00Z,2.637499988079071,4.199999809265137
1982-01-17T00:00:00Z,3.3750000397364297,5.400000095367432
1982-01-18T00:00:00Z,3.6909091039137407,5
1982-01-19T00:00:00Z,1.9374999850988388,2.5
1982-01-20T00:00:00Z,1.0583333348234494,2
1982-01-21T00:00:00Z,2.233333319425583,3.0999999046325684
1982-01-22T00:00:00Z,2.62916665772597,3.200000047683716
1982-01-23T00:00:00Z,1.7499999950329463,2.799999952316284
1982-01-24T00:00:00Z,4.19999997512154,5.5
1982-01-25T00:00:00Z,3.854166656732559,4.5
1982-01-26T00:00:00Z,1.8249999682108562,2.5999999046325684
1982-01-27T00:00:00Z,1.7458333323399227,2.4000000953674316
1982-01-28T00:00:00Z,1.4749999940395355,2.9000000953674316
1982-01-29T00:00:00Z,2.895833303531011,3.700000047683716
1982-01-30T00:00:00Z,1.7499999875823657,2.9000000953674316
1982-01-31T00:00:00Z,1.9000000059604645,2.5
1982-02-01T00:00:00Z,3.1208333025376,4.900000095367432
1982-02-02T00:00:00Z,2.3000000019868216,5.300000190734863
1982-02-03T00:00:00Z,1.3041666746139526,2.0999999046325684
1982-02-04T00:00:00Z,2.4500000029802322,3.200000047683716
1982-02-05T00:00:00Z,1.7583333204189937,2.200000047683716
1982-02-06T00:00:00Z,1.449999988079071,2.299999952316284
1982-02-07T00:00:00Z,2.19166665772597,2.799999952316284
1982-02-08T00:00:00Z,3.2625000178813934,3.9000000953674316
1982-02-09T00:00:00Z,1.2458333323399227,2.0999999046325684
1982-02-10T00:00:00Z,2.087500015894572,4
1982-02-11T00:00:00Z,1.6583333263794582,2.299999952316284
1982-02-12T00:00:00Z,1.7499999900658925,2.9000000953674316
1982-02-13T00:00:00Z,0.8750000049670538,1.899999976158142
1982-02-14T00:00:00Z,2.5833333134651184,3.0999999046325684
1982-02-15T00:00:00Z,1.773913043996562,3.0999999046325684
1982-02-16T00:00:00Z,1.9625000009934108,2.9000000953674316
1982-02-17T00:00:00Z,2.137499988079071,3
1982-02-18T00:00:00Z,1.6625000139077504,2
1982-02-19T00:00:00Z,0.8458333338300387,1.100000023841858
1982-02-20T00:00:00Z,2.5041666676600776,4.300000190734863
1982-02-21T00:00:00Z,3.8458333214124045,4.5
1982-02-22T00:00:00Z,3.1958333353201547,3.799999952316284
1982-02-23T00:00:00Z,2.6249999751647315,4.099999904632568
1982-02-24T00:00:00Z,2.0874999910593033,2.799999952316284
1982-02-25T00:00:00Z,2.5250000009934106,4.099999904632568
1982-02-26T00:00:00Z,4.450000057617824,5.199999809265137
1982-02-27T00:00:00Z,2.487500006953875,3.5
1982-02-28T00:00:00Z,1.0333333238959312,1.7999999523162842
1982-03-01T00:00:00Z,1.2624999955296516,1.899999976158142
1982-03-02T00:00:00Z,2.366666643392472,3.700000047683716
1982-03-03T00:00:00Z,2.274999976158142,3.700000047683716
1982-03-04T00:00:00Z,1.2250000014901161,2.0999999046325684
1982-03-05T00:00:00Z,2.470833346247673,3.700000047683716
1982-03-06T00:00:00Z,2.1791666398445764,2.799999952316284
1982-03-07T00:00:00Z,2.362499992052714,2.700000047683716
1982-03-08T00:00:00Z,3.0416666766007743,3.700000047683716
1982-03-09T00:00:00Z,2.016666665673256,3.4000000953674316
1982-03-10T00:00:00Z,0.904166671137015,1.2000000476837158
1982-03-11T00:00:00Z,0.9499999905625979,1.2999999523162842
1982-03-12T00:00:00Z,1.2791666587193806,1.600000023841858
1982-03-13T00:00:00Z,1.2583333253860474,1.600000023841858
1982-03-14T00:00:00Z,1.929166669646899,3.0999999046325684
1982-03-15T00:00:00Z,2.7347826232080874,3.299999952316284
1982-03-16T00:00:00Z,2.420833334326744,3.299999952316284
1982-03-17T00:00:00Z,0.587500004718701,1
1982-03-18T00:00:00Z,0.8208333353201548,1.100000023841858
1982-03-19T00:00:00Z,0.5541666733721892,1
1982-03-20T00:00:00Z,0.49166667088866234,0.800000011920929
1982-03-21T00:00:00Z,1.0458333417773247,1.2999999523162842
1982-03-22T00:00:00Z,2.091666648785273,2.5
1982-03-23T00:00:00Z,1.6000000031098076,2.5
1982-03-24T00:00:00Z,0.8749999950329462,1.2000000476837158
1982-03-25T00:00:00Z,0.6916666701436043,0.8999999761581421
1982-03-26T00:00:00Z,1.5833333283662796,2.4000000953674316
1982-03-27T00:00:00Z,3.3666666597127914,4.300000190734863
1982-03-28T00:00:00Z,3.6999999781449637,4.199999809265137
1982-03-29T00:00:00Z,1.7166666636864345,3.5
1982-03-30T00:00:00Z,0.9304347867551057,1.2999999523162842
1982-03-31T00:00:00Z,0.6750000069538752,1.7000000476837158
